07-17 07:57:06.705 19456 19456 W daemon-handler-: type=1400 audit(0.0:122102): avc: denied { read } for name="mem" dev="debugfs" ino=6417669 scontext=u:r:priv_app:s0:c512,c768 tcontext=u:object_r:debugfs:s0 tclass=file permissive=0
07-17 07:57:07.994  1410  1410 E ActivityManager:   0.1% 12532/kworker/4:2: 0% user + 0.1% kernel
07-17 07:57:07.994  1410  1410 E ActivityManager:   0.1% 12545/kworker/u16:0: 0% user + 0.1% kernel
07-17 07:57:07.994  1410  1410 E ActivityManager:   0.1% 14445/VosMCThread: 0% user + 0.1% kernel
07-17 07:57:07.994  1410  1410 E ActivityManager:   0.1% 14446/VosTXThread: 0% user + 0.1% kernel
07-17 07:57:07.994  1410  1410 E ActivityManager:   0.1% 14468/wpa_supplicant: 0% user + 0.1% kernel / faults: 18 minor
07-17 07:57:07.994  1410  1410 E ActivityManager:   0.1% 19717/kworker/6:0: 0% user + 0.1% kernel
07-17 07:57:07.994  1410  1410 E ActivityManager:   0.1% 21172/adbd: 0.1% user + 0% kernel / faults: 46 minor
07-17 07:57:07.994  1410  1410 E ActivityManager:   0.1% 21464/logcat: 0% user + 0.1% kernel / faults: 2 minor
07-17 07:57:07.994  1410  1410 E ActivityManager: 3.2% TOTAL: 0.2% user + 0.1% kernel + 2.8% iowait + 0% softirq
07-17 07:57:07.994  1410  1410 E ActivityManager: CPU usage from 5485ms to 6040ms later (2017-07-17 07:57:06.817 to 2017-07-17 07:57:07.372):
07-17 07:57:07.994  1410  1410 E ActivityManager:   40% 1410/system_server: 30% user + 10% kernel / faults: 32 minor
07-17 07:57:07.994  1410  1410 E ActivityManager:     30% 1419/HeapTaskDaemon: 30% user + 0% kernel
07-17 07:57:07.994  1410  1410 E ActivityManager:     12% 1425/ActivityManager: 1.7% user + 10% kernel
07-17 07:57:07.994  1410  1410 E ActivityManager:     1.7% 1932/WifiStateMachin: 1.7% user + 0
07-17 07:57:07.999  1410  1410 W ActivityManager: Launch timeout has expired, giving up wake lock!
07-17 07:57:08.055 19885 19885 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.startService:1361 android.content.ContextWrapper.startService:613 com.qiku.logsystem.services.ControlDispatchService.a:288 com.qiku.logsystem.a.a:19 com.qiku.lib.boradcastbus.BroadcastController.onReceive:27 

