07-17 05:40:36.453  1410  1410 E ActivityManager: ANR in com.qiku.android.xtime (com.qiku.android.xtime/qiku.xtime.ui.showring.ShowRingActivity)
07-17 05:40:36.453  1410  1410 E ActivityManager: PID: 16231
07-17 05:40:36.453  1410  1410 E ActivityManager: Reason: Input dispatching timed out (Waiting to send non-key event because the touched window has not finished processing certain input events that were delivered to it over 500.0ms ago.  Wait queue length: 2.  Wait queue head age: 6007.6ms.)
07-17 05:40:36.453  1410  1410 E ActivityManager:   0.1% 2401/tcpdump: 0% user + 0.1% kernel
07-17 05:40:36.453  1410  1410 E ActivityManager:   0% 4575/VosRXThread: 0% user + 0% kernel
07-17 05:40:36.453  1410  1410 E ActivityManager:   0% 4595/wlan_logging_th: 0% user + 0% kernel
07-17 05:40:36.453  1410  1410 E ActivityManager:   0.1% 5444/logcat: 0.1% user + 0% kernel
07-17 05:40:36.453  1410  1410 E ActivityManager:   0% 5450/com.android.commands.monkey: 0% user + 0% kernel / faults: 197 minor
07-17 05:40:36.453  1410  1410 E ActivityManager:   0.1% 12539/kworker/7:2: 0% user + 0.1% kernel
07-17 05:40:36.453  1410  1410 E ActivityManager:   0% 14251/kworker/u16:4: 0% user + 0% kernel
07-17 05:40:36.453  1410  1410 E ActivityManager:   0% 16646/cn.kuwo.player:service: 0% user + 0% kernel / faults: 3 minor
07-17 05:40:36.453  1410  1410 E ActivityManager:   0% 16986/kworker/4:0: 0% user + 0% kernel
07-17 05:40:36.453  1410  1410 E ActivityManager:   0% 27074/kworker/0:2H: 0% user + 0% kernel
07-17 05:40:36.453  1410  1410 E ActivityManager:  +0% 17421/ping: 0% user + 0% kernel
07-17 05:40:36.453  1410  1410 E ActivityManager: 29% TOTAL: 14% user + 12% kernel + 1.4% iowait + 0% irq + 0.4% softirq
07-17 05:40:36.453  1410  1410 E ActivityManager: CPU usage from 4782ms to 5322ms later (2017-07-17 05:40:35.281 to 2017-07-17 05:40:35.822):
07-17 05:40:36.453  1410  1410 E ActivityManager:   29% 48
07-17 05:40:36.467  1410  1410 W ActivityManager: Scheduling restart of crashed service com.android.dialer/com.android.incallui.InCallServiceImpl in 1000ms
07-17 05:40:36.522 19885 19885 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.startService:1361 android.content.ContextWrapper.startService:613 com.qiku.logsystem.services.ControlDispatchService.a:288 com.qiku.logsystem.a.a:19 com.qiku.lib.boradcastbus.BroadcastController.onReceive:27 
07-17 05:40:36.568 19885 19885 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.startService:1361 android.content.ContextWrapper.startService:613 com.qiku.logsystem.bugreport.a.registerActions:48 java.lang.reflect.Method.invoke:-2 com.qiku.lib.boradcastbus.c.b:279 

